state,bill_number,title,description,dem_sponsors,rep_sponsors,session_start,session_end,last_action_date,last_action,completed
CA,AB1163,Consumer warranty protection: express warranties.,"An act to amend Section 1793.03 of the Civil Code, relating to consumer warranties.",1,1,2019,2020,2020-02-03,From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.,1
CA,SB605,Medical Device Right to Repair Act.,"An act to add Article 5.5 (commencing with Section 111611) to Chapter 6 of Part 5 of Division 104 of the Health and Safety Code, relating to public health.",3,1,2021,2022,2022-02-01,Returned to Secretary of Senate pursuant to Joint Rule 56.,1
CA,SB244,Right to Repair Act.,"An act to amend and renumber the heading of Chapter 8.6 (commencing with Section 42490) of, and to add Chapter 8.6 (commencing with Section 42488) to, Part 3 of Division 30 of, the Public Resources Code, relating to solid waste management.",8,0,2023,2024,2023-10-10,"Chaptered by Secretary of State. Chapter 704, Statutes of 2023.",1
CA,SB271,Powered wheelchairs: repair.,"An act to add Chapter 8.5 (commencing with Section 21300) to Division 8 of the Business and Professions Code, and to amend, repeal, and add Section 14132.85 of the Welfare and Institutions Code, relating to powered wheelchairs.",2,0,2023,2024,2024-01-25,Veto sustained.,0
CA,SB1384,Powered wheelchairs: repair.,"An act to add Chapter 8.5 (commencing with Section 21300) to Division 8 of the Business and Professions Code, relating to powered wheelchairs.",3,2,2023,2024,2024-09-27,"Chaptered by Secretary of State. Chapter 797, Statutes of 2024.",1
CO,HB1195,Consumer Digital Repair Bill Of Rights,Concerning a requirement that a manufacturer of digital electronic equipment facilitate the repair of the equipment by providing persons other than authorized repair providers affiliated with the manufacturer with the resources needed to repair the equipment.,3,1,2020,2020,2020-05-27,House Committee on Business Affairs & Labor Postpone Indefinitely,1
CO,HB1199,Consumer Digital Repair Bill Of Rights,Concerning a requirement that a manufacturer of digital electronic equipment facilitate the repair of the equipment by providing persons other than authorized repair providers affiliated with the manufacturer with the resources needed to repair the equipment.,3,0,2021,2021,2021-03-25,House Committee on Business Affairs & Labor Postpone Indefinitely,1
CO,HB1031,Consumer Right To Repair Powered Wheelchairs,Concerning a requirement that a powered wheelchair manufacturer facilitate the repair of its powered wheelchairs by providing certain other persons with the resources needed to repair the manufacturer's powered wheelchairs.,52,2,2022,2022,2022-06-02,Governor Signed,1
CO,HB1290,Changes To Medicaid For Wheelchair Repairs,"Concerning changes to medicaid to allow for expedited repairs to complex rehabilitation technology, and, in connection therewith, making an appropriation.",34,3,2022,2022,2022-06-02,Governor Signed,1
CO,HB1011,Consumer Right To Repair Agricultural Equipment,Concerning a requirement that an agricultural equipment manufacturer facilitate the repair of its equipment by providing certain other persons with the resources needed to repair the manufacturer's agricultural equipment.,32,1,2023,2023,2023-04-25,Governor Signed,1
CO,HB1121,Consumer Right to Repair Digital Electronic Equipment,Concerning a requirement that a manufacturer of digital electronic equipment facilitate the repair of its equipment by providing certain other persons with the resources needed to repair the manufacturer's digital electronic equipment.,38,0,2024,2024,2024-05-28,Governor Signed,1
CT,HB06385,An Act Concerning Enhancements To Certain Agricultural Programs.,"To (1) include chicken eggs as part of the state-funded Connecticut Farmers' Market/WIC and Senior Nutrition programs, (2) increase fines for violating certain farm product grading and marketing requirements, (3) provide the Commissioner of Agriculture with infraction authority for the violation of statutes under the commissioner's authority, and (4) increase vouchers for said nutrition programs.",5,2,2021,2021,2021-07-12,Signed by the Governor,1
CT,SB00484,An Act Concerning Emissions And Decibel Level Testing For Motor Vehicles And The Taxation Of Certain Motorcycles And Motorcycle Mufflers.,To require emissions and decibel level testing for motor vehicles and motorcycles and establish a higher rate of sales and use taxes for motorcycles and certain motorcycle mufflers that exceed the maximum allowable decibel level.,0,0,2022,2022,2022-04-25,File Number 623,0
CT,HB06942,"An Act Authorizing And Adjusting Bonds Of The State And Concerning Certain Grant And Financing Programs, State Construction Related Thresholds, School Construction Projects, The Failure To File For Certain Grand List Exemptions, The Validation Of Certain Actions Taken By Certain Municipalities, Capital City Projects, Certain Consumer Agreements, Certain Modifications To Municipal Charters And Petitions For Certain Town Referenda, Elections Administration And Campaign Finance, Certain Cases Before The Commission On Human Rights And Opportunities And Other Items Implementing The State Budget.","An Act Authorizing And Adjusting Bonds Of The State And Concerning Certain Grant And Financing Programs, State Construction Related Thresholds, School Construction Projects, The Failure To File For Certain Grand List Exemptions, The Validation Of Certain Actions Taken By Certain Municipalities, Capital City Projects, Certain Consumer Agreements, Certain Modifications To Municipal Charters And Petitions For Certain Town Referenda, Elections Administration And Campaign Finance, Certain Cases Before The Commission On Human Rights And Opportunities And Other Items Implementing The State Budget.",5,0,2023,2023,2023-06-29,Signed by the Governor,1
CT,HJ00261,Resolution Proposing An Amendment To The State Constitution To Revise Requirements Relating To The Offering Of Bail Or Pretrial Release To Persons Accused Of A Crime.,Resolution Proposing An Amendment To The State Constitution To Revise Requirements Relating To The Offering Of Bail Or Pretrial Release To Persons Accused Of A Crime.,1,1,2023,2023,2023-04-25,"Tabled for the Calendar, House",0
CT,HB06942,"An Act Authorizing And Adjusting Bonds Of The State And Concerning Certain Grant And Financing Programs, State Construction Related Thresholds, School Construction Projects, The Failure To File For Certain Grand List Exemptions, The Validation Of Certain Actions Taken By Certain Municipalities, Capital City Projects, Certain Consumer Agreements, Certain Modifications To Municipal Charters And Petitions For Certain Town Referenda, Elections Administration And Campaign Finance, Certain Cases Before The Commission On Human Rights And Opportunities And Other Items Implementing The State Budget.","An Act Authorizing And Adjusting Bonds Of The State And Concerning Certain Grant And Financing Programs, State Construction Related Thresholds, School Construction Projects, The Failure To File For Certain Grand List Exemptions, The Validation Of Certain Actions Taken By Certain Municipalities, Capital City Projects, Certain Consumer Agreements, Certain Modifications To Municipal Charters And Petitions For Certain Town Referenda, Elections Administration And Campaign Finance, Certain Cases Before The Commission On Human Rights And Opportunities And Other Items Implementing The State Budget.",5,0,2023,2023,2023-06-29,Signed by the Governor,1
CT,HB06702,An Act Concerning A Consumer's Right To Timely Wheelchair Repairs.,"To require manufacturers of powered wheelchairs to provide documentation, tools, hardware and software, if necessary, to allow a consumer to repair, or hire an independent contractor to repair, a powered wheelchair.",0,0,2023,2023,2023-03-24,"Favorable Change of Reference, Senate to Committee on Judiciary",0
CT,SB00006,An Act Concerning Housing.,To make housing more affordable for Connecticut residents.,24,1,2024,2024,2024-03-25,File Number 92,0
CT,SB00164,An Act Establishing A Task Force To Study Expanding Services Provided By The 2-1-1 Infoline Program Operated By The United Way Of Connecticut.,To establish a task force to make recommendations on expanding and improving services offered by the 2-1-1 Infoline program operated by the United Way of Connecticut with state support.,0,4,2025,2025,2025-02-14,Public Hearing 02/20,0
CT,HB07288,"An Act Authorizing And Adjusting Bonds Of The State And Concerning Grant Programs, State Grant Commitments For School Building Projects, Revisions To The School Building Projects Statutes And Various Provisions Revising And Implementing The Budget For The Biennium Ending June 30, 2027.","An Act Authorizing And Adjusting Bonds Of The State And Concerning Grant Programs, State Grant Commitments For School Building Projects, Revisions To The School Building Projects Statutes And Various Provisions Revising And Implementing The Budget For The Biennium Ending June 30, 2027.",6,0,2025,2025,2025-06-30,Signed by the Governor,1
CT,SB00732,An Act Requiring The State Water Plan To Be Amended To Address Climate Change.,To require the state water plan to be amended to account for climate change.,5,0,2025,2025,2025-02-25,Public Hearing 03/03,0
DE,HB1,An Act To Amend Title 4 Of The Delaware Code Relating To Alcoholic Liquors.,"Food and drink establishments suffered great losses since March, 2020 due to the pandemic including millions of dollars in lost sales and the loss of an tens of thousands of jobs in this State. This Act extends the provisions contained in HB 349 from the 150th General Assembly until March 31, 2022 with the goal of continuing the efforts to try and mitigate the losses this industry has suffered.",15,7,2021,2022,2021-03-23,Signed by Governor,1
DE,HB302,An Act To Amend Title 18 Of The Delaware Code Relating To Prostate Cancer Screening.,"According to the American Cancer Society, prostate cancer is the second-leading cause of death from cancer in men. It is estimated that about 1 in 41 men will die of prostate cancer. According to ZERO Prostate Cancer, Black men face serious health care disparities regarding prostate cancer. 1 in 6 Black men will develop prostate cancer in their lifetime compared to 1 in 8 men overall. Black men are also 1.7 times more likely to be diagnosed with, and 2.1 times more likely to die from, prostate cancer than white men.",14,1,2023,2024,2024-10-28,Signed by Governor,1
FL,H4017,Davidson Road Paving Improvements,Provides an appropriation for the Davidson Road Paving Improvements.,0,1,2021,2021,2021-04-30,See SB 2500 (line item 1915A),0
FL,H0511,Fair Repair of Agricultural Equipment,"Requires original equipment manufacturers of agricultural equipment to provide certain manufacturing, diagnostic, & repair information to independent repair providers & owners; prohibits original equipment manufacturers from excluding certain information concerning security-related functions; provides liability.",0,4,2021,2021,2021-04-30,Died in Regulatory Reform Subcommittee,1
FL,S1320,Fair Repair of Agricultural Equipment,"Citing this act as the ""Agricultural Equipment Fair Repair Act'; requiring original equipment manufacturers of agricultural equipment to make certain manufacturing, diagnostic, and repair information available to independent repair providers and owners; prohibiting the original equipment manufacturers from excluding certain information concerning security-related functions, etc.",0,1,2022,2022,2022-03-14,Died in Agriculture,1
FL,H1535,Fair Repair of Agricultural Equipment,"Requires original equipment manufacturers of agricultural equipment to provide certain manufacturing, diagnostic, & repair information to independent repair providers & owners; prohibits original equipment manufacturers from excluding certain information concerning security-related functions; provides civil liability.",0,2,2022,2022,2022-03-14,Died in Regulatory Reform Subcommittee,1
FL,H0533,Fair Repair of Agricultural Equipment,"Requires original equipment manufacturers of agricultural equipment to provide certain manufacturing, diagnostic, & repair information to independent repair providers & owners; prohibits original equipment manufacturers from excluding certain information concerning security-related functions; provides civil liability.",0,2,2023,2023,2023-05-05,Died in Regulatory Reform & Economic Development Subcommittee,1
FL,S0902,Safety Standards for Amusement Rides,"Citing this act as the ""Tyre Sampson Act""; requiring permanent amusement rides operated for the first time in this state after a specified date to have a ride commissioning and certification report on file with the Department of Agriculture and Consumer Services within a specified timeframe; requiring the department to remove an amusement ride from service and take appropriate administrative actions under certain circumstances; revising the circumstances under which the owner or manager of an amusement ride is required to report an accident and under which the department may impound an amusement ride involved in an accident, etc.",1,1,2023,2023,2023-05-12,"Chapter No. 2023-50, companion bill(s) passed, see CS/SB 904 (Ch. 2023-51)",1
FL,H0235,Digital Right to Repair,Requires certain portable wireless device manufacturers to make certain items available to device owners & independent repair providers; prohibits certain manufacturers from requiring authorized repair providers to continue purchasing certain information in proprietary format; establishes enforcement provisions.,1,0,2025,2025,2025-06-16,Died in Industries & Professional Activities Subcommittee,1
FL,H0311,Repair of Motorized Wheelchairs,"Requires original equipment manufacturer to make available any documentation, parts, & tools, required for diagnosis, maintenance, or repair of motorized wheelchair & parts for motorized wheelchair; requires original equipment manufacturer of motorized wheelchair with electronic security lock to make available any special documentation, parts, & tools, needed to access & reset lock when disabled in course of diagnosis, maintenance, or repair of motorized wheelchair; provides that violation of act is unlawful practice under Florida Deceptive & Unfair Trade Practices Act; provides that original equipment manufacturer is not required to divulge trade secrets.",7,2,2025,2025,2025-06-16,Died in Fiscal Policy,1
FL,S0948,Flood Disclosures,"Requiring a landlord of residential real property to provide specified information to a prospective tenant at or before the time the rental agreement is executed; providing that if a landlord fails to disclose flood information truthfully and a tenant suffers substantial loss or damage, the tenant may terminate the rental agreement by giving a written notice of termination and surrendering possession of the premises to the landlord within a specified timeframe; requiring a developer of a residential condominium unit to provide specified information to a prospective purchaser at or before the time the sales contract is executed; requiring a park owner of a mobile home park to provide specified information to a prospective lessee at or before the time the rental agreement is executed, etc.",0,1,2025,2025,2025-06-23,Chapter No. 2025-166,1
FL,S1132,Consumers' Right to Repair Certain Equipment,"Creating the ""Portable Wireless Device Repair Act""; requiring portable wireless device manufacturers to make certain items available to device owners and independent repair providers; prohibiting certain manufacturers from requiring authorized repair providers to continue purchasing certain information in a proprietary format; providing that a complaint may be filed in circuit court under certain circumstances; requiring original equipment manufacturers of agricultural equipment to make certain diagnostic and repair information available for no charge and in a certain manner to independent repair providers and owners, etc.",0,2,2025,2025,2025-06-16,Died on Calendar,0
FL,S1360,Controlled Substances,"Excepting from the Schedule I controlled substance xylazine drug products approved by the United States Food and Drug Administration for certain use; creating the offense of trafficking in xylazine, etc.",0,1,2025,2025,2025-04-30,Laid on Table,1
GA,HB321,Health; hospital Medicaid financing program; extend sunset provision,"A BILL to be entitled an Act to amend Article 6C of Chapter 8 of Title 31 of the Official Code of Georgia Annotated, relating to the hospital Medicaid financing program, so as to extend the sunset provision; to provide for an effective date; to repeal conflicting laws; and for other purposes.",0,6,2019,2020,2019-04-25,Effective Date,1
GA,HB321,Health; hospital Medicaid financing program; extend sunset provision,"A BILL to be entitled an Act to amend Article 6C of Chapter 8 of Title 31 of the Official Code of Georgia Annotated, relating to the hospital Medicaid financing program, so as to extend the sunset provision; to provide for an effective date; to repeal conflicting laws; and for other purposes.",0,6,2019,2020,2019-04-25,Effective Date,1
GA,HB1013,Mental Health Parity Act; enact,"A BILL to be entitled an Act to amend Titles 15, 20, 31, 33, 37, 45, and 49 of the O.C.G.A., relating to courts, education, health, insurance, mental health, public officers and employees, and social services, respectively, so as to implement the recommendations of the Georgia Behavioral Health Reform and Innovation Commission; to provide for related matters; to repeal conflicting laws; and for other purposes.",2,5,2021,2022,2022-04-04,Effective Date 2022-07-01,1
GA,SB131,Permanent Guardianship; service by publication; provide,"A BILL to be entitled an Act to amend Part 13 of Article 3 of Chapter 11 of Title 15 of the O.C.G.A., relating to permanent guardianship, so as to provide for service by publication; to provide for related matters; to repeal conflicting laws; and for other purposes.",0,16,2023,2024,2023-05-02,Effective Date 2023-07-01,1
HI,HB1649,Relating To Digital Electronic Equipment Repairs.,Requires original equipment manufacturers of digital electronic devices to make diagnostic and repair information available to device owners and independent repair providers.,1,0,2018,2018,2018-02-02,The committee(s) on CPC recommend(s) that the measure be deferred.,0
HI,SB425,Relating To Fair Digital Electronic Equipment Repair.,Requires original equipment manufacturers of digital electronic devices to make diagnostic and repair information available to device owners and independent repair providers.,1,0,2019,2019,2019-01-31,The committee on TEC deferred the measure.,0
HI,SB89,Relating To Digital Electronic Equipment.,Requires original equipment manufacturers of digital electronic devices to make diagnostic and repair information available to device owners and independent repair providers.,1,0,2019,2019,2019-01-17,Referred to CPH.,0
HI,HB1884,Relating To The Model State Right-to-repair Law.,"Requires original equipment manufacturers of digital electronic equipment to make documentation, parts, and tools available to independent repair providers and owners for the purposes of diagnosis, maintenance, and repair on fair and reasonable terms. Effective 7/1/2050. (HD1)",1,0,2020,2020,2020-02-05,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on JUD with Representative(s) Okimoto voting aye with reservations; none voting no (0) and Representative(s) McDermott, Saiki excused (2).",0
HI,SB2496,Relating To The Model State Right-to-repair Law.,"Requires original equipment manufacturers of digital electronic equipment to make documentation, parts, and tools available to independent repair providers and owners for the purposes of diagnosis, maintenance, and repair on fair and reasonable terms.",12,0,2020,2020,2020-02-06,The committee on CPH deferred the measure.,0
HI,HR178,Convening A Task Force To Examine And Recommend Laws And Regulations To Protect Independent Repair Options.,Convening A Task Force To Examine And Recommend Laws And Regulations To Protect Independent Repair Options.,1,0,2020,2020,2020-03-11,"Referred to CPC/JUD, FIN, referral sheet 40",0
HI,HCR197,Convening A Task Force To Examine And Recommend Laws And Regulations To Protect Independent Repair Options.,Convening A Task Force To Examine And Recommend Laws And Regulations To Protect Independent Repair Options.,1,0,2020,2020,2020-03-11,"Referred to CPC/JUD, FIN, referral sheet 40",0
HI,SB760,Relating To Medical Devices.,"Creates the Medical Device Right to Repair Act. Requires manufacturers of powered medical equipment to make parts, equipment, tools, and documentation available to independent repair providers and purchasers of such equipment. Requires manufacturers to provide tools to repair equipment that costs $100 or more. Creates a right of action for violation of the chapter enforceable by the Attorney General.",7,1,2021,2021,2021-01-27,"Referred to HTH, JDC/CPN.",0
HI,SB564,Relating To The Model State Right-to-repair Law.,"Requires original equipment manufacturers of digital electronic equipment to make documentation, parts, and tools available to independent repair providers and owners for the purposes of diagnosis, maintenance, and repair on fair and reasonable terms.",5,0,2021,2021,2021-01-27,"Referred to EET, CPN.",0
HI,HB415,Relating To Mobile Devices.,"Requires original manufacturers of certain electronics-enabled mobile equipment sold or used in the State to make available to owners and independent repair providers, on fair and reasonable terms, the documentation, tools, and parts needed to diagnose, maintain, or repair the equipment.",3,0,2021,2021,2021-01-27,"Referred to CPC, FIN, referral sheet 1",0
HI,HB226,Relating To Fair Digital Electronic Equipment Repair.,Requires original equipment manufacturers of digital electronic devices to make diagnostic and repair information available to owners of equipment manufactured by the original equipment manufacturer and independent repair providers.,8,0,2021,2021,2021-01-27,"Referred to CPC, FIN, referral sheet 1",0
HI,HB226,Relating To Fair Digital Electronic Equipment Repair.,Requires original equipment manufacturers of digital electronic devices to make diagnostic and repair information available to owners of equipment manufactured by the original equipment manufacturer and independent repair providers.,8,0,2022,2022,2021-12-10,Carried over to 2022 Regular Session.,0
HI,HB415,Relating To Mobile Devices.,"Requires original manufacturers of certain electronics-enabled mobile equipment sold or used in the State to make available to owners and independent repair providers, on fair and reasonable terms, the documentation, tools, and parts needed to diagnose, maintain, or repair the equipment.",3,0,2022,2022,2021-12-10,Carried over to 2022 Regular Session.,0
HI,SB2690,Relating To The Model State Right-to-repair Law.,"Requires original equipment manufacturers of digital electronic equipment to make documentation, parts, and tools available to independent repair providers and owners for the purposes of diagnosis, maintenance, and repair on fair and reasonable terms.",10,1,2022,2022,2022-01-28,"Re-Referred to EET, CPN/JDC.",0
HI,HB1405,Relating To Right To Repair.,"Requires manufacturers of digital electronic equipment to make available to owners and independent repair providers, on fair and reasonable terms, the documentation, parts, and tools used to diagnose, maintain, and repair the equipment.",1,0,2022,2022,2022-01-26,"Referred to CPC, FIN, referral sheet 1",0
HI,HB2369,Relating To The Model State Right-to-repair Law.,"Requires original equipment manufacturers of digital electronic equipment to make documentation, parts, and tools available to independent repair providers and owners for the purposes of diagnosis, maintenance, and repair on fair and reasonable terms.",1,0,2022,2022,2022-01-28,"Referred to CPC, FIN, referral sheet 3",0
HI,SB2330,Relating To The Model State Right-to-repair Law.,"Requires original equipment manufacturers of digital electronic equipment to make documentation, parts, and tools available to independent repair providers and owners for the purposes of diagnosis, maintenance, and repair on fair and reasonable terms.",8,0,2022,2022,2022-01-31,"Re-Referred to EET, CPN/JDC.",0
HI,SB760,Relating To Medical Devices.,"Creates the Medical Device Right to Repair Act. Requires manufacturers of powered medical equipment to make parts, equipment, tools, and documentation available to independent repair providers and purchasers of such equipment. Requires manufacturers to provide tools to repair equipment that costs $100 or more. Creates a right of action for violation of the chapter enforceable by the Attorney General.",7,1,2022,2022,2022-02-11,The committee on HTH deferred the measure.,0
HI,HB1207,Relating To Income Tax Reduction.,Simplifies the tax structure to four brackets and reduces the tax rate.,0,3,2023,2023,2023-01-30,"Referred to ECD, FIN, referral sheet 3",0
HI,SB1172,Relating To Medical Devices.,"Requires manufacturers of powered medical equipment to make available to powered medical equipment owners and independent repair providers parts, equipment, tools, documentation, and training courses and materials. Requires manufacturers to provide tools to repair equipment having a cost greater than or equal to $100. Creates a right of action by the Attorney General for certain violations of the State's medical device right to repair laws.",3,0,2023,2023,2023-01-27,"Referred to HHS, JDC/CPN.",0
HI,SB1105,Relating To The Model State Right-to-repair Law.,"Requires original equipment manufacturers of digital electronic equipment to make documentation, parts, and tools available to independent repair providers and owners for the purposes of diagnosis, maintenance, and repair on fair and reasonable terms. Excludes certain manufacturers, dealers, distributors, and importers of certain motor vehicles or motor vehicle equipment, all-terrain sports vehicles and motorcycles, heavy construction equipment, and medical equipment valued at or over $100,000.",3,0,2023,2023,2023-01-27,"Referred to EET, CPN.",0
HI,HB645,Relating To The Model State Right-to-repair Law.,"Requires original equipment manufacturers of digital electronic equipment to make documentation, parts, and tools available to independent repair providers and owners for the purposes of diagnosis, maintenance, and repair on fair and reasonable terms. Excludes certain manufacturers, dealers, distributors, and importers of certain motor vehicles or motor vehicle equipment, all-terrain sports vehicles and motorcycles, heavy construction equipment, and medical equipment valued at or over $100,000.",4,0,2023,2023,2023-01-27,"Referred to ECD, CPC, FIN, referral sheet 2",0
HI,HB53,Relating To Right To Repair.,"Requires manufacturers of digital electronic equipment to make available to owners and independent repair providers, on fair and reasonable terms, the documentation, parts, and tools used to diagnose, maintain, and repair the equipment.",1,0,2023,2023,2023-02-01,The committee(s) on HET recommend(s) that the measure be deferred.,0
HI,HB1287,Relating To The Right To Repair.,"Requires manufacturers of digital electronic equipment to make available to owners and independent repair providers, on fair and reasonable terms, the documentation, parts, and tools used to diagnose, maintain, and repair the equipment.",0,1,2023,2023,2023-01-30,"Referred to CPC, FIN, referral sheet 3",0
HI,SB2700,Relating To The Right To Repair.,"Requires manufacturers of certain products and appliances to make available to any applicable product or appliance owners, service and repair facilities, and service dealers, on fair and reasonable terms, the documentation, parts, and tools used to diagnose, maintain, and repair the product or appliance.",2,0,2024,2024,2024-01-24,"Referred to CPN, JDC.",0
HI,HB1287,Relating To The Right To Repair.,"Requires manufacturers of digital electronic equipment to make available to owners and independent repair providers, on fair and reasonable terms, the documentation, parts, and tools used to diagnose, maintain, and repair the equipment.",0,1,2024,2024,2023-12-11,Carried over to 2024 Regular Session.,0
HI,SB795,Relating To Automotive Repair.,Provides access by owners of motor vehicles and independent repair facilities to motor vehicle manufacturer diagnostic and repair information and diagnostic repair tools otherwise made available to dealers.,1,0,2025,2025,2025-01-23,"Referred to CPN, JDC.",0
HI,HB1464,Relating To Automotive Repair.,"Requires a manufacturer of model year 2022 or later motor vehicles that utilize telematics systems to equip the vehicles with an inter-operable, standardized, and open-access platform across all of the manufacturer's makes and models. Requires the Department of Commerce and Consumer Affairs to establish a motor vehicle telematics system notice. Effective 7/1/3000. (HD1)",1,0,2025,2025,2025-02-04,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on CPC with none voting aye with reservations; none voting no (0) and Representative(s) Cochran, Kong, Ward excused (3).",0
IA,HSB556,A bill for an act providing for procedures relating to a denial of admission to the Iowa veterans home.,A bill for an act providing for procedures relating to a denial of admission to the Iowa veterans home.,0,0,2017,2018,2018-01-29,Subcommittee Meeting: 02/01/2018 12:00PM House Lounge,0
IA,HF2334,"A bill for an act relating to activities associated with agriculture, natural resources, and the environment, including by increasing the sales and use tax rates, transferring moneys to the natural resources and outdoor recreation trust fund, funding certain government entities and initiatives, providing for an Iowa water policy, establishing water quality and water management objectives, goals, and benchmarks, regulating confinement feeding operations, making appropriations, and including effective date and applicability provisions.","A bill for an act relating to activities associated with agriculture, natural resources, and the environment, including by increasing the sales and use tax rates, transferring moneys to the natural resources and outdoor recreation trust fund, funding certain government entities and initiatives, providing for an Iowa water policy, establishing water quality and water management objectives, goals, and benchmarks, regulating confinement feeding operations, making appropriations, and including effective date and applicability provisions.",1,0,2017,2018,2018-02-13,"Introduced, referred to Agriculture. H.J. 259.",0
IA,HSB556,A bill for an act providing for procedures relating to a denial of admission to the Iowa veterans home.,A bill for an act providing for procedures relating to a denial of admission to the Iowa veterans home.,0,0,2017,2018,2018-01-29,Subcommittee Meeting: 02/01/2018 12:00PM House Lounge,0
IA,HF2334,"A bill for an act relating to activities associated with agriculture, natural resources, and the environment, including by increasing the sales and use tax rates, transferring moneys to the natural resources and outdoor recreation trust fund, funding certain government entities and initiatives, providing for an Iowa water policy, establishing water quality and water management objectives, goals, and benchmarks, regulating confinement feeding operations, making appropriations, and including effective date and applicability provisions.","A bill for an act relating to activities associated with agriculture, natural resources, and the environment, including by increasing the sales and use tax rates, transferring moneys to the natural resources and outdoor recreation trust fund, funding certain government entities and initiatives, providing for an Iowa water policy, establishing water quality and water management objectives, goals, and benchmarks, regulating confinement feeding operations, making appropriations, and including effective date and applicability provisions.",1,0,2017,2018,2018-02-13,"Introduced, referred to Agriculture. H.J. 259.",0
IA,HF587,"A bill for an act relating to consumer rights to repair specified goods, and providing penalties.","A bill for an act relating to consumer rights to repair specified goods, and providing penalties.",2,0,2023,2024,2023-03-02,"Introduced, referred to Commerce. H.J. 483.",0
ID,H0452,Adds to exisiting law to establish the Right to Repair Act.,RIGHT TO REPAIR -- Adds to exisiting law to establish the Right to Repair Act.,0,0,2020,2020,2020-03-18,Retained on General Orders,0
ID,S1300,Amends and adds to exisitng law to establish a right to repair electronic equipment and provides that an original equipment manufacturer that fails to allow for a right to repair commits an unfair trade practice as well as an unfair restraint of trade.,RIGHT TO REPAIR -- Amends and adds to exisitng law to establish a right to repair electronic equipment and provides that an original equipment manufacturer that fails to allow for a right to repair commits an unfair trade practice as well as an unfair restraint of trade.,0,0,2020,2020,2020-02-10,Reported Printed; referred to Commerce & Human Resources,0
